"DIBSFW_LABEL_1","You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the DIBS payment system. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop."
"DIBSFW_LABEL_2","You can pay with the following payment cards:"
"DIBSFW_LABEL_3","The order is now placed and payment must now be made in DIBS Payment Solution (www.dibspayment.com)"
"DIBSFW_LABEL_4","Order number" 
"DIBSFW_LABEL_5","Amount"
"DIBSFW_LABEL_6","Your are now being redirected to the payment gateway"
"DIBSFW_LABEL_7","DIBS Payment Information"
"DIBSFW_LABEL_8","Transaction ID:"
"DIBSFW_LABEL_9","Amount:"
"DIBSFW_LABEL_10","Currency Code:"
"DIBSFW_LABEL_11","Fee:"
"DIBSFW_LABEL_12","Pay type:"
"DIBSFW_LABEL_13","Card number:"
"DIBSFW_LABEL_14","Expire:"
"DIBSFW_LABEL_15","Country:"
"DIBSFW_LABEL_16","Acquirer:"
"DIBSFW_LABEL_17","3-D Secure:"
"DIBSFW_LABEL_18","Go to DIBS administration and process the payment"
"DIBSFW_LABEL_19","There is not registered any payment for this order yet!"
"DIBSFW_LABEL_20","Customer has canceled the payment process - DIBS Payment Services (www.dibspayment.com)"
"DIBSFW_LABEL_21","'Callback' received from DIBS Payment Services (www.dibspayment.com)"
"DIBSFW_LABEL_22","Customer successfully returned back to store from DIBS Payment Services (www.dibspayment.com)"
